language,first,second,summary,family,type
Английский, 372000000, 1080000000, 1452000000, Индоевропейский, германский
Китайский мандарин, 929000000, 198000000, 1118000000, Китайско-тибетский, синитский
Хинди, 344000000, 258000000, 602000000, Индоевропейский, индоарийский
Испанский, 474000000, 74000000, 548000000, Индоевропейский, романский
Французский, 80000000, 194000000, 247000000, Индоевропейский, романский
Арабский, , 274000000, 274000000, Афро-азиатский, семитский
Бенгальский, 233000000, 39000000, 272000000, Индоевропейский, индоарийский
Русский, 154000000, 104000000, 258000000, Индоевропейский, балто-славянский
Португальский, 232000000, 25000000, 257000000, Индоевропейский, романский
Урду, 70000000, 161000000, 231000000, Индоевропейский, индоарийский
Индонезийский, 44000000, 155000000, 199000000, Австронезийский, малайско-полинезийский
Немецкий, 76000000, 59000000, 134000000, Индоевропейский, германский
Японский, 125000000, 1000000, 126000000, Японский, 
